ID,OBEC,POPIS
815,584410,59367
816,513105,59367
817,530123,59367
818,557676,33441
819,576280,33441
820,538167,59367
821,569968,50325
822,531570,59367
823,533289,59367
824,539198,25229
825,580091,59367
826,593931,59367
827,559776,33844
828,558770,33005
829,539180,33005
830,564745,59367
831,540111,26301
832,537101,67182
833,536199,67182
834,546941,67182
835,571989,59367
836,569976,50313
837,564753,41182
838,532223,47201
839,561495,47201
840,558788,59367
841,501646,59367
842,513130,59367
843,574015,59367
844,556106,59367
845,574902,59367
846,539201,59367
847,539945,59367
848,593958,59367
849,506702,74722
850,505030,59367
851,541800,75655
852,534765,27701
853,586137,69617
854,535702,29404
855,579122,54362
856,554863,59367
857,544388,37365
858,558796,33152
859,539210,25241
860,587044,58845
861,533297,59367
862,580121,56102
863,598101,73938
864,593966,59367
865,584428,69185
866,545465,38272
867,579149,54342
868,545856,59367
869,540129,26262
870,595501,59367
871,552241,59367
872,560529,59367
873,558800,59367
874,579157,54374
875,582956,66464
876,529648,25768
877,568597,59367
878,535711,59367
879,587664,59367
880,506711,74766
881,585173,74766
882,595519,59367
883,549088,59367
884,511951,59367
885,595527,59455
886,557684,33444
887,598968,73553
888,579165,59367
889,580163,59367
890,597287,59367
891,568601,58233
892,560341,59367
893,562301,59367
894,592145,68762
895,569259,59367
896,579173,54375
897,562432,40755
898,531260,59367
899,562441,40782
900,562467,59367
901,569984,50316
902,574023,54911
903,574911,53371
904,595535,59251
905,538591,35604
906,535729,29478
907,548448,59367
908,570940,59367
909,553379,78820
910,552607,59367
911,552984,59367
912,545473,38201
913,590550,59367
914,587061,59367
915,584436,69129
916,531987,59367
917,567931,40301
918,513199,75123
919,577995,75123
920,580112,56153
921,563994,59367
922,574929,53375
923,554502,35493
924,553051,74756
925,562602,59367
926,589454,78356
927,568392,78356
928,553646,59367
929,590568,67543
930,586145,69683
931,562840,69683
932,582964,59367
933,545279,78306
934,552313,59367
935,563048,59367
936,513211,59367
937,553425,59367
938,578517,59367
939,535745,29448
940,566152,43968
941,513181,59367
942,564885,59367
943,530417,59367
944,568864,73533
945,535664,59367
946,550981,59367
947,579181,59367
948,581542,67911
949,571067,59367
950,595551,59261
951,585181,59367
952,533301,59367
953,544400,59367
954,576301,51742
955,500127,59367
956,587079,59367
957,507610,59367
958,560219,59367
959,501751,59367
960,589462,79861
961,531146,59367
962,599298,26285
963,540251,59367
964,540145,59367
965,564681,59367
966,564770,59367
967,551015,59367
968,595560,59367
969,553573,59367
970,535958,59367
971,529711,59367
972,563765,59367
973,530379,59367
974,532151,59367
975,553581,59367
976,578665,59367
977,552283,39131
978,552291,59367
979,592994,59367
980,566683,59367
981,549371,59367
982,586153,59367
983,540170,59367
984,563307,59367
985,549380,59367
986,540188,59367
987,554511,59367
988,512991,59367
989,584444,69183
990,585190,68304
991,593001,68304
992,581551,68304
993,531341,59367
994,560243,59367
995,563056,43144
996,531154,59367
997,570141,59367
998,537187,59367
999,592153,59367
1000,568619,59367
1001,560987,59367
1002,558834,33007
1003,532274,27362
1004,593010,59367
1005,552275,59367
1006,540153,66424
1007,582972,66424
1008,551023,59367
1009,563561,46824
1010,585203,59367
1011,558419,79607
1012,550183,59367
1013,501794,78375
1014,572977,59367
1015,598381,59367
1016,579190,59367
1017,534927,78972
1018,535788,59367
1019,540218,26251
1020,561541,59367
1021,564508,59367
1022,544442,37384
1023,551546,59367
1024,561533,47141
1025,567507,41702
1026,552071,59367
1027,586161,69603
1028,567515,41901
1029,587087,59367
1030,590576,67556
1031,562815,59367
1032,532843,59367
1033,587095,58805
1034,564818,59367
1035,504955,59367
1036,506729,59367
1037,597317,59367
1038,537110,59367
1039,537144,59367
1040,509141,37808
1041,579203,54401
1042,593991,59367
1043,587109,59367
1044,593974,67126
1045,593982,59367
1046,537128,28901
1047,544451,37364
1048,589497,59367
1049,549118,59367
1050,553557,59367
1051,552208,39127
1052,544361,37348
1053,551864,59367
1054,529753,59367
1055,558851,33002
1056,590525,59367
1057,571300,59367
1058,568236,74794
1059,532746,59367
1060,565181,59367
1061,538116,59367
1062,572829,50724
1063,592978,59367
1064,589420,59367
1065,598941,73571
1066,546607,59367
1067,577961,59367
1068,597252,79303
1069,572683,59367
1070,564729,59367
1071,562335,59367
1072,504301,59367
1073,532282,59367
1074,589489,59367
1075,513229,75114
1076,538191,59367
1077,573337,59367
1078,551040,59367
1079,534773,59367
1080,532291,59367
1081,588431,59367
1082,534781,27714
1083,574953,53305
1084,544426,37351
1085,529869,59367
1086,594008,59367
1087,580210,59367
1088,559792,59367
1089,560855,59367
1090,564834,59367
1091,561754,59367
1092,531162,59367
1093,562637,59367
1094,542644,75614
1095,545899,40723
1096,554529,35101
1097,599344,74401
1098,578525,38279
1099,545481,38279
1100,598135,73945
1101,595578,59204
1102,585211,76316
1103,598003,59367
1104,564028,59367
1105,598143,73911
1106,563579,59367
1107,599352,59367
1108,568635,58282
1109,594016,59367
1110,574325,59367
1111,599450,59367
1112,501841,78373
1113,569194,59367
1114,564036,59367
1115,560359,35709
1116,567957,59367
1117,593028,59367
1118,568651,58281
1119,581569,59367
1120,569992,59367
1121,535575,59367
1122,562696,59367
1123,582999,59367
1124,551597,59367
1125,579211,54466
1126,542679,75603
1127,585220,76363
1128,585238,59367
1129,562807,59367
1130,560863,59367
1131,562386,59367
1132,544337,59367
1133,578240,59367
1134,571377,59367
1135,595586,59367
